# edges.csv file for A* graph search scene.
# All lines beginning with a # are treated as a comment and ignored.
# Each line below has the form
# id1,id2,cost
1,2,0.05
2,3,0.05
3,4,0.05
4,5,0.05
5,6,0.05
6,7,0.05
7,8,0.05
8,9,0.05
9,10,0.05
10,11,0.05
11,12,0.05
12,13,0.05
10,14,0.05
13,15,0.05
15,16,0.05
16,17,0.05
17,18,0.05
17,19,0.05
17,20,0.05
20,21,0.05
5,22,0.05
12,23,0.05
18,24,0.05
3,25,0.05
9,26,0.05
17,27,0.05
23,28,0.05
24,29,0.05
29,30,0.05
24,31,0.05
12,32,0.05
21,33,0.05
28,34,0.05
34,35,0.05
35,36,0.05
31,37,0.05
36,38,0.05
5,39,0.05
37,40,0.05
7,41,0.05
38,42,0.05
42,43,0.05
23,44,0.05
20,45,0.05
40,46,0.05
30,47,0.05
46,48,0.05
33,49,0.05
43,50,0.05
18,51,0.05
47,52,0.05
43,53,0.05
52,54,0.05
49,55,0.05
35,56,0.05
56,57,0.05
57,58,0.05
53,59,0.05
59,60,0.05
58,61,0.05
3,62,0.05
41,63,0.05
55,64,0.05
60,65,0.05
65,66,0.05
54,67,0.05
50,68,0.05
62,69,0.05
49,70,0.05
64,71,0.05
61,72,0.05
66,73,0.05
71,74,0.05
53,75,0.05
19,76,0.05
73,77,0.05
38,78,0.05
67,79,0.05
77,80,0.05
80,81,0.05
22,82,0.05
37,83,0.05
81,84,0.05
24,85,0.05
84,86,0.05
59,87,0.05
68,88,0.05
71,89,0.05
79,90,0.05
74,91,0.05
90,92,0.05
37,93,0.05
86,94,0.05
53,95,0.05
94,96,0.05
